id,name,name_kana,created_at,updated_at,publiced,memo,category_id
1,蒼緋,そうひ,2013-06-30 06:26:26 UTC,2013-06-30 06:26:26 UTC,true,,0
2,軍魔,ぐんま,2013-06-30 06:26:26 UTC,2013-06-30 06:26:26 UTC,true,,0
3,鳩麦麦茶,はとむぎむぎちゃ,2013-06-30 06:26:26 UTC,2013-06-30 06:26:26 UTC,true,,0
4,JEKYLL,JEKYLL,2013-09-25 16:05:00 UTC,2013-09-25 16:05:00 UTC,true,,0
5,ryo,ryo,2013-09-25 16:18:35 UTC,2013-09-25 16:18:35 UTC,true,,0
6,朝奈,あさな,2013-09-25 16:19:32 UTC,2013-09-25 16:19:32 UTC,true,,0
7,幸鳥,さちどり,2013-09-25 16:19:56 UTC,2013-09-25 16:19:56 UTC,true,,0
8,せぐ,せぐ,2013-09-25 16:20:06 UTC,2013-09-25 16:20:06 UTC,true,,0
9,遠野みりん,とおのみりん,2013-09-25 16:20:24 UTC,2013-09-25 16:20:24 UTC,true,,0
10,まぁむ,まぁむ,2013-09-25 16:20:34 UTC,2013-09-25 16:20:34 UTC,true,,0
11,ラタヒ,をたひ,2013-09-25 16:20:49 UTC,2013-09-25 16:20:49 UTC,true,,0
